"Name","ExtraId","Control Name","Registry Key","Registry Value","CSP Name","CSP Path(s)","Data Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Severity","Availability","Category"
"FirewallPrivateProfileLogSuccessfulConnections","AZ-WIN-202232","Windows Firewall: Private: Logging: Log successful connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogSuccessfulConnections",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileOutboundConnection","CCE-38332-3","Windows Firewall: Private: Outbound connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultOutboundAction",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileState","CCE-38239-0","Windows Firewall: Private: Firewall state","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","EnableFirewall",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPrivateProfileUnicastResponse","AZ-WIN-00089","Windows Firewall: Private: Allow unicast response","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DisableUnicastResponsesToMulticastBroadcast",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileApplyLocalConnectionSecurityRules","CCE-36268-1","Windows Firewall: Public: Settings: Apply local connection security rules","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","AllowLocalIPsecPolicyMerge",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileApplyLocalFirewallRules","CCE-37861-2","Windows Firewall: Public: Settings: Apply local firewall rules","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","AllowLocalPolicyMerge",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileDisplayNotification","CCE-38043-6","Windows Firewall: Public: Settings: Display a notification","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DisableNotifications",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileInboundConnection","AZ-WIN-202234","Windows Firewall: Public: Inbound connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultInboundAction",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileLogDroppedPackets","AZ-WIN-202237","Windows Firewall: Public: Logging: Log dropped packets","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogDroppedPackets",,,"Number","1","1","1","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileLogFileMaxSize","AZ-WIN-202236","Windows Firewall: Public: Logging: Size limit (KB)","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogFileSize",,,"Number","16384","16384","16384","Range(16384, )","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileLogFileName","AZ-WIN-202235","Windows Firewall: Public: Logging: Name","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogFilePath",,,"String","%SystemRoot%\System32\logfiles\firewall\publicfw.log","%SystemRoot%\System32\logfiles\firewall\publicfw.log","%SystemRoot%\System32\logfiles\firewall\publicfw.log",,"Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileLogSuccessfulConnections","AZ-WIN-202233","Windows Firewall: Public: Logging: Log successful connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogSuccessfulConnections",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileOutboundConnection","CCE-37434-8","Windows Firewall: Public: Outbound connections","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultOutboundAction",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileState","CCE-37862-0","Windows Firewall: Public: Firewall state","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","EnableFirewall",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"FirewallPublicProfileUnicastResponse","AZ-WIN-00090","Windows Firewall: Public: Allow unicast response","HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DisableUnicastResponsesToMulticastBroadcast",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ForceAuditPolicySubcategorySettingsToOverrideAuditPolicyCategorySettings","CCE-37850-5","Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","SCENoApplyLegacyAuditPolicy","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Audit_ForceAuditPolicySubcategorySettingsToOverrideAuditPolicyCategorySettings","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"GroupPolicyDisableBackgroundPolicy","CCE-14437-8","Turn off background refresh of Group Policy","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","DisableBkGndGroupPolicy",,,"Number","0","0",,"Range(0, 1)","Warning","Domain Controller, Member Server","Registry"
"GroupPolicyEnableCDP","AZ-WIN-00170","Continue experiences on this device","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","EnableCdp",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"GroupPolicyNoBackgroundPolicy","CCE-36169-1","Configure registry policy processing: Do not apply during periodic background processing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}","NoBackgroundPolicy",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"GroupPolicyNoGPOListChanges","CCE-36169-1a","Configure registry policy processing: Process even if the Group Policy objects have not changed","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}","NoGPOListChanges",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ICMNC_ExitOnISP","CCE-37163-3","Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Internet Connection Wizard","ExitOnMSICW",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ImpersonateClient","AZ-WIN-73785","The Impersonate a client after authentication user right must only be assigned to Administrators, Service, Local Service, and Network Service.",,,"./Vendor/MSFT/Policy","Config/UserRights/ImpersonateClient","String","*S-1-5-32-544,*S-1-5-6,*S-1-5-19,*S-1-5-20","*S-1-5-32-544,*S-1-5-6,*S-1-5-19,*S-1-5-20","*S-1-5-32-544,*S-1-5-6,*S-1-5-19,*S-1-5-20",,"Important","Domain Controller, Member Server, Workgroup Member","Security Policy"
"IPSourceRoutingProtectionLevel","AZ-WIN-202244","MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","DisableIPSourceRouting",,,"Number","2","2","2","Range(0, 2)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"IPv6SourceRoutingProtectionLevel","AZ-WIN-202213","MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)","HKLM:\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters","DisableIPSourceRouting",,,"Number","2","2","2","Range(0, 2)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"KDCHashAlgorithms",,"Configure hash algorithms for certificate logon (KDC)","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters","PKINITHashAlgorithmConfigurationEnabled",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KDCHashAlgorithmsSHA1",,"Configure hash algorithms for certificate logon (KDC) - SHA1","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters","PKINITSHA1",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KDCHashAlgorithmsSHA256",,"Configure hash algorithms for certificate logon (KDC) - SHA256","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters","PKINITSHA256",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KDCHashAlgorithmsSHA384",,"Configure hash algorithms for certificate logon (KDC) - SHA384","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters","PKINITSHA384",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KDCHashAlgorithmsSHA512",,"Configure hash algorithms for certificate logon (KDC) - SHA512","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters","PKINITSHA512",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KerberosHashAlgorithms",,"Configure hash algorithms for certificate logon (Kerberos)","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","PKInitHashAlgorithmConfigurationEnabled",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KerberosHashAlgorithmsSHA1",,"Configure hash algorithms for certificate logon (Kerberos) - SHA1","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","PKInitSHA1",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KerberosHashAlgorithmsSHA256",,"Configure hash algorithms for certificate logon (Kerberos) - SHA256","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","PKInitSHA256",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KerberosHashAlgorithmsSHA384",,"Configure hash algorithms for certificate logon (Kerberos) - SHA384","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","PKInitSHA384",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"KerberosHashAlgorithmsSHA512",,"Configure hash algorithms for certificate logon (Kerberos) - SHA512","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","PKInitSHA512",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"LANManagerAuthenticationLevel","CCE-36173-3","Network security: LAN Manager authentication level","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","LmCompatibilityLevel","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_LANManagerAuthenticationLevel","Number","5","5","5","Range(0, 5)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"LanmanWorkstationEnableInsecureGuestLogons","AZ-WIN-00171","Enable insecure guest logons","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AllowInsecureGuestAuth","./Vendor/MSFT/Policy","Config/LanmanWorkstation/EnableInsecureGuestLogons","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"LDAPClientSigningRequirements","CCE-36858-9","Network security: LDAP client signing requirements","HKLM:\SYSTEM\CurrentControlSet\Services\LDAP","LDAPClientIntegrity","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_LDAPClientSigningRequirements","Number","1","1","1","Range(0, 2)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"LDAPServerChannelBindingTokenRequirements",,"Domain controller: LDAP server channel binding token requirements","HKLM:\SYSTEM\CurrentControlSet\Services\NTDS\Parameters","LdapEnforceChannelBinding",,,"Number","2",,,"Range(0, 2)","Critical","Domain Controller","Registry"
"LDAPServerLDAPServerIntegritySigningRequirementsEnforcement",,"Domain controller: LDAP server signing requirements enforcement","HKLM:\SYSTEM\CurrentControlSet\Services\NTDS\Parameters","LDAPServerEnforceIntegrity",,,"Number","1",,,"Range(0, 1)","Critical","Domain Controller","Registry"
"LetEveryonePermissionsApplyToAnonymousUsers","CCE-36148-5","Network access: Let Everyone permissions apply to anonymous users","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","EveryoneIncludesAnonymous","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_LetEveryonePermissionsApplyToAnonymousUsers","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"LimitLocalAccountUseOfBlankPasswordsToConsoleLogonOnly","CCE-37615-2","Accounts: Limit local account use of blank passwords to console logon only","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","LimitBlankPasswordUse","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Accounts_LimitLocalAccountUseOfBlankPasswordsToConsoleLogonOnly","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"LogonBlockUserFromShowingAccountDetailsOnSignin","AZ-WIN-00138","Block user from showing account details on sign-in","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","BlockUserFromShowingAccountDetailsOnSignin",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"LogonDontEnumerateConnectedUsers","AZ-WIN-202216","Do not enumerate connected users on domain-joined computers","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","DontEnumerateConnectedUsers",,,"Number","1","1",,"Range(0, 1)","Warning","Domain Controller, Member Server","Registry"
"LSAPPLProtection",,"Enable LSA PPL Protection","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","RunAsPPL",,,"Number","2","2","2","Range(0, 2)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"MachineInactivityLimit","AZ-WIN-73645","Interactive logon: Machine inactivity limit","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","InactivityTimeoutSecs","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/InteractiveLogon_MachineInactivityLimit","Number","900","900","900","Range(0, 900)","Important","Domain Controller, Member Server, Workgroup Member","Security Options"
"MaximumMachineAccountPasswordAge",,"Domain member: Maximum machine account password age","HKLM:\SYSTEM\CurrentControlSet\Services\NetLogon\Parameters","MaximumPasswordAge","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/DomainMember_MaximumMachineAccountPasswordAge","Number","30","30",,"Range(30, 10000)","Critical","Domain Controller, Member Server","Security Options"
"MessageTextUserLogon","AZ-WIN-202253","Interactive logon: Message text for users attempting to log on","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LegalNoticeText",,,"String",,,,,"Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"MessageTextUserLogonTitle","AZ-WIN-20225","Interactive logon: Message title for users attempting to log on","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LegalNoticeCaption",,,"String",,,,,"Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"MinimumSessionSecurityForNTLMSSPBasedClients","CCE-37553-5","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0","NTLMMinClientSec","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_MinimumSessionSecurityForNTLMSSPBasedClients","Number","537395200","537395200","537395200",,"Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"MinimumSessionSecurityForNTLMSSPBasedServers","CCE-37835-6","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\MSV1_0","NTLMMinServerSec","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_MinimumSessionSecurityForNTLMSSPBasedServers","Number","537395200","537395200","537395200",,"Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"MinimumSMBClientVersion",,"Mandate the minimum version of SMB Client","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","MinSmb2Dialect",,,"Number","768","768","768","OneOf(Equals(514),Equals(528),Equals(768),Equals(770),Equals(785))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"MinimumSMBServerVersion",,"Mandate the minimum version of SMB Server","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","MinSmb2Dialect",,,"Number","768","768","768","OneOf(Equals(514),Equals(528),Equals(768),Equals(770),Equals(785))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"MitigationOptionsFontBlocking",,"WindowsNT MitigationOptions MitigationOptions FontBocking","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\MitigationOptions","MitigationOptions_FontBocking",,,"String","1000000000000","1000000000000","1000000000000","OneOf(Equals('0'), Equals('1000000000000'))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"NetBTNodeTypeConfiguration","AZ-WIN-202211","NetBT NodeType configuration","HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters","NodeType",,,"Number","2","2",,"Range(1, 2)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"NetworkConnectionsNC_ShowSharedAccessUI","AZ-WIN-00172","Prohibit use of Internet Connection Sharing on your DNS domain network","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_ShowSharedAccessUI",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"NetworkProviderHardenedPathsNETLOGON","AZ-WIN-202250","Hardened UNC Paths - NETLOGON","HKLM:\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths","\\*\NETLOGON",,,"String","RequireMutualAuthentication=1, RequireIntegrity=1","RequireMutualAuthentication=1, RequireIntegrity=1",,"ContainsAtMost('RequireMutualAuthentication=1, RequireIntegrity=1, RequirePrivacy=1')","Warning","Domain Controller, Member Server","Registry"
"NetworkProviderHardenedPathsSYSVOL","AZ-WIN-202251","Hardened UNC Paths - SYSVOL","HKLM:\SOFTWARE\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths","\\*\SYSVOL",,,"String","RequireMutualAuthentication=1, RequireIntegrity=1","RequireMutualAuthentication=1, RequireIntegrity=1",,"ContainsAtMost('RequireMutualAuthentication=1, RequireIntegrity=1, RequirePrivacy=1')","Warning","Domain Controller, Member Server","Registry"
"NetworkSecurityForceLogoffWhenLogonHoursExpire",,"Network security: Force logoff when logon hours expire",,,"./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkSecurity_ForceLogoffWhenLogonHoursExpire","Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Security Policy"
"OnlyElevateUIAccessApplicationsThatAreInstalledInSecureLocations","CCE-37057-7","User Account Control: Only elevate UIAccess applications that are installed in secure locations","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableSecureUIAPaths","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_OnlyElevateUIAccessApplicationsThatAreInstalledInSecureLocations","Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"OverrideMinimumEnabledDTLSVersionClient",,"Override Minimum Enabled DTLS Version Client","HKML:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\DTLS 1.X\Client","Enabled","./Vendor/MSFT/Policy","Config/Cryptography/OverrideMinimumEnabledDTLSVersionClient","String","1.2","1.2","1.2","OneOf(Equals('1.0'),Equals('1.1'),Equals('1.2'))","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"OverrideMinimumEnabledDTLSVersionServer",,"Override Minimum Enabled DTLS Version Server","HKML:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\DTLS 1.X\Server","Enabled","./Vendor/MSFT/Policy","Config/Cryptography/OverrideMinimumEnabledDTLSVersionServer","String","1.2","1.2","1.2","OneOf(Equals('1.0'),Equals('1.1'),Equals('1.2'))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"OverrideMinimumEnabledTLSVersionClient",,"Override Minimum Enabled TLS Version Client","HKML:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.X\Client","Enabled","./Vendor/MSFT/Policy","Config/Cryptography/OverrideMinimumEnabledTLSVersionClient","String","1.2","1.2","1.2","OneOf(Equals('1.1'),Equals('1.1'),Equals('1.2'),Equals('1.3'))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"OverrideMinimumEnabledTLSVersionServer",,"Override Minimum Enabled TLS Version Server","HKML:\SYSTEM\CurrentControlSet\Control\SecurityProviders\SCHANNEL\Protocols\TLS 1.X\Server","Enabled","./Vendor/MSFT/Policy","Config/Cryptography/OverrideMinimumEnabledTLSVersionServer","String","1.2","1.2","1.2","OneOf(Equals('1.1'),Equals('1.1'),Equals('1.2'),Equals('1.3'))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"PowerShellExecutionPolicyEnableTranscripting","AZ-WIN-202208","Turn on PowerShell Transcription","HKLM:\SOFTWARE\Policies\Microsoft\Windows\PowerShell\Transcription","EnableTranscripting",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters","CCE-37942-0","Devices: Prevent users from installing printer drivers","HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers","AddPrinterDrivers","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Devices_PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters","Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Security Options"
"PrintersRestrictDriverInstallationToAdministrators","AZ-WIN-202202","Limits print driver installation to Administrators","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint","RestrictDriverInstallationToAdministrators",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"PrivacyAllowInputPersonalization","AZ-WIN-00168","Allow Input Personalization","HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization","AllowInputPersonalization","./Vendor/MSFT/Policy","Config/Privacy/AllowInputPersonalization","Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"PromptUserToChangePasswordBeforeExpiration","CCE-10930-6","Interactive logon: Prompt user to change password before expiration","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\WinLogon","PasswordExpiryWarning","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/InteractiveLogon_PromptUserToChangePasswordBeforeExpiration","Number","14","14","14","Range(5, 14)","Informational","Domain Controller, Member Server, Workgroup Member","Security Options"
"RDPPortNumber","AZ-WIN-00156","Detect change from default RDP port","HKLM:\SYSTEM\CurrentControlSet\Control\Terminal Server\WinStations\RDP-Tcp","PortNumber",,,"Number","3389","3389","3389","Range(1024, 65535)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"RecoveryConsoleAllowFloppyCopyAndAllDrives",,"Recovery console: Allow floppy copy and access to all drives and all folders","HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole","SetCommand","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/RecoveryConsole_AllowFloppyCopyAndAccessToAllDrivesAndAllFolders","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"RefuseMachineAccountPasswordChanged",,"Domain controller: Refuse machine account password changes","HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters","RefusePasswordChange",,,"Number","0",,,"Range(0, 1)","Critical","Domain Controller","Registry"
"RemoteAssistanceSolicitedRemoteAssistance","CCE-37281-3","Configure Solicited Remote Assistance","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fAllowToGetHelp",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"RemoteAssistanceUnsolicitedRemoteAssistance","CCE-36388-7","Configure Offer Remote Assistance","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fAllowUnsolicited",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"RemoteDesktopServicesClientConnectionEncryptionLevel","CCE-36627-8","Set client connection encryption level","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","MinEncryptionLevel",,,"Number","3","3","3","Range(1,4)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"RemoteDesktopServicesDoNotAllowDriveRedirection","AZ-WIN-73569","Do not allow drive redirection","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fDisableCdm",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"RemoteDesktopServicesDoNotAllowPasswordSaving","CCE-36223-6","Do not allow passwords to be saved","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","DisablePasswordSaving",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"RemoteDesktopServicesPromptForPasswordUponConnection","CCE-37929-7","Always prompt for password upon connection","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fPromptForPassword",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"RemoteDesktopServicesRequireSecureRPCCommunication","CCE-37567-5","Require secure RPC communication","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fEncryptRPCTraffic",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"RemotelyAccessibleRegistryPaths","CCE-37194-8","Network access: Remotely accessible registry paths","HKLM:\SYSTEM\CurrentControlSet\SecurePipeServers\WinReg\AllowedExactPaths","Machine","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/NetworkAccess_RemotelyAccessibleRegistryPaths","MultiString","System\CurrentControlSet\Control\ProductOptions,System\CurrentControlSet\Control\Server Applications,Software\Microsoft\Windows NT\CurrentVersion","System\CurrentControlSet\Control\ProductOptions,System\CurrentControlSet\Control\Server Applications,Software\Microsoft\Windows NT\CurrentVersion","System\CurrentControlSet\Control\ProductOptions,System\CurrentControlSet\Control\Server Applications,Software\Microsoft\Windows NT\CurrentVersion",,"Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
